"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","actor_2_facebook_likes","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","imdb_score","movie_facebook_likes","title_year"
"1",723,178,0,855,1000,760505847,936,886204,4834,0,3054,2.37e+08,7.9,33000,2009
"2",302,169,563,1000,40000,309404152,5000,471220,48350,0,1238,3e+08,7.1,0,2007
"3",602,148,0,161,11000,200074175,393,275868,11700,1,994,2.45e+08,6.8,85000,2015
"4",813,164,22000,23000,27000,448130642,23000,1144337,106759,0,2701,2.5e+08,8.5,164000,2012
"5",NA,NA,131,NA,131,NA,12,8,143,0,NA,NA,7.1,0,NA
"6",462,132,475,530,640,73058679,632,212204,1873,1,738,263700000,6.6,24000,2012
"7",392,156,0,4000,24000,336530303,11000,383056,46055,0,1902,2.58e+08,6.2,0,2007
"8",324,100,15,284,799,200807262,553,294810,2036,1,387,2.6e+08,7.8,29000,2010
"9",635,141,0,19000,26000,458991599,21000,462669,92000,4,1117,2.5e+08,7.5,118000,2015
"10",375,153,282,10000,25000,301956980,11000,321795,58753,3,973,2.5e+08,7.5,10000,2009
"11",673,183,0,2000,15000,330249062,4000,371639,24450,0,3018,2.5e+08,6.9,197000,2016
"12",434,169,0,903,18000,200069408,10000,240396,29991,0,2367,2.09e+08,6.1,0,2006
"13",403,106,395,393,451,168368427,412,330784,2023,1,1243,2e+08,6.7,0,2008
"14",313,151,563,1000,40000,423032628,5000,522040,48486,2,1832,2.25e+08,7.3,5000,2006
"15",450,150,563,1000,40000,89289910,2000,181792,45757,1,711,2.15e+08,6.5,48000,2013
"16",733,143,0,748,15000,291021565,3000,548573,20495,0,2536,2.25e+08,7.2,118000,2013
"17",258,150,80,201,22000,141614023,216,149922,22697,4,438,2.25e+08,6.6,0,2008
"18",703,173,0,19000,26000,623279547,21000,995415,87697,3,1722,2.2e+08,8.1,123000,2012
"19",448,136,252,1000,40000,241063875,11000,370704,54083,4,484,2.5e+08,6.7,58000,2011
"20",451,106,188,718,10000,179020854,816,268154,12572,1,341,2.25e+08,6.8,40000,2012
"21",422,164,0,773,5000,255108370,972,354228,9152,0,802,2.5e+08,7.5,65000,2014
"22",599,153,464,963,15000,262030663,10000,451803,28489,0,1225,2.3e+08,7,56000,2012
"23",343,156,0,738,891,105219735,882,211765,3244,0,546,2e+08,6.7,17000,2010
"24",509,186,0,773,5000,258355354,972,483540,9152,6,951,2.25e+08,7.9,83000,2013
"25",251,113,129,1000,16000,70083519,6000,149019,24106,2,666,1.8e+08,6.1,0,2007
"26",446,201,0,84,6000,218051260,919,316018,7123,0,2618,2.07e+08,7.2,0,2005
"27",315,194,0,794,29000,658672302,14000,793059,45223,0,2528,2e+08,7.7,26000,1997
"28",516,147,94,11000,21000,407197282,19000,272670,64798,0,1022,2.5e+08,8.2,72000,2016
"29",377,131,532,627,14000,65173160,10000,202382,26679,0,751,2.09e+08,5.9,44000,2012
"30",644,124,365,1000,3000,652177271,2000,418214,8458,0,1290,1.5e+08,7,150000,2015
"31",750,143,0,393,883,304360277,563,522030,2039,0,1498,2e+08,7.8,80000,2012
"32",300,135,0,4000,24000,373377893,11000,411164,43388,1,1303,2e+08,7.3,0,2004
"33",608,195,1000,3000,21000,408992272,4000,557489,30426,3,1187,2e+08,7.2,95000,2013
"34",451,108,13000,11000,40000,334185206,25000,306320,79957,0,736,2e+08,6.5,24000,2010
"35",334,104,420,560,20000,234360014,808,383427,21714,0,1912,2.1e+08,6.8,0,2006
"36",376,104,37,760,12000,268488329,779,235025,14863,0,265,2e+08,7.3,44000,2013
"37",366,150,0,464,894,402076689,581,323207,3218,0,1439,2e+08,6,0,2009
"38",378,165,0,808,974,245428137,956,242420,3988,2,918,2.1e+08,5.7,56000,2014
"39",525,130,0,11000,44000,234903076,15000,175409,73441,4,511,2.15e+08,6.4,60000,2013
"40",495,142,464,825,15000,202853933,10000,321227,28631,0,1067,2e+08,6.7,41000,2014
"41",469,125,364,1000,12000,172051787,10000,264183,25550,0,665,1.7e+08,6.8,30000,2010
"42",304,106,487,776,1000,191450875,919,101178,4482,0,283,2e+08,6.3,10000,2011
"43",436,123,258,326,16000,116593191,368,223393,17657,2,550,2e+08,5.6,24000,2011
"44",453,103,125,721,15000,414984497,1000,544884,19085,3,733,2e+08,8.3,30000,2010
"45",422,118,368,988,23000,125320003,3000,286095,27468,0,974,2e+08,6.6,0,2009
"46",424,140,0,14000,26000,350034110,23000,278232,79150,0,657,1.9e+08,7.2,94000,2015
"47",654,123,395,1000,17000,202351611,11000,465019,32392,0,995,1.9e+08,7,129000,2013
"48",539,149,0,20000,34000,233914986,22000,514125,91434,7,752,2e+08,8,82000,2014
"49",590,132,14000,928,19000,228756232,981,395573,21411,0,1171,1.9e+08,7.8,92000,2013
"50",338,114,0,140,979,65171860,557,106416,1766,1,205,1.95e+08,6.3,22000,2013
"51",490,143,1000,77,29000,144812796,509,362912,29770,4,753,1.05e+08,7.3,115000,2013
"52",306,116,179,236,15000,90755643,567,222403,16149,2,453,2e+08,6.6,23000,2010
"53",575,131,0,919,16000,101785482,968,381148,19166,0,1106,1.9e+08,7,83000,2013
"54",428,154,0,581,894,352358779,829,326180,2593,2,899,1.95e+08,6.3,46000,2011
"55",470,122,14000,1000,11000,317011114,1000,333847,14959,2,2054,1.85e+08,6.2,5000,2008
"56",298,93,113,113,275,123070338,150,62836,696,0,345,NA,6.8,20000,2015
"57",488,93,56,838,2000,237282182,1000,273556,5005,0,428,1.85e+08,7.2,39000,2012
"58",322,122,681,105,998,130468626,119,53607,1327,4,432,1.85e+08,7.5,30000,2016
"59",421,98,475,522,1000,223806889,729,718837,2975,0,1043,1.8e+08,8.4,16000,2008
"60",162,91,420,173,268,140080850,268,121084,1125,2,221,1.4e+08,6.2,0,2007
"61",367,158,776,310,1000,166112167,468,283418,2144,0,1055,2e+08,5.8,13000,2009
"62",240,96,0,10000,18000,137850096,14000,72809,48878,0,249,2e+08,6.8,0,2009
"63",384,127,0,13000,17000,47375327,15000,139593,47334,1,720,1.76e+08,5.4,44000,2015
"64",248,110,282,103,11000,124051759,10000,42372,21175,2,239,1.8e+08,6.6,29000,2016
"65",284,150,80,82,1000,291709845,190,286506,1317,5,1463,1.8e+08,6.9,0,2005
"66",396,144,0,1000,34000,154985087,13000,148379,49684,6,622,1.78e+08,7.3,54000,2016
"67",645,152,22000,11000,23000,533316061,13000,1676169,57802,0,4667,1.85e+08,9,37000,2008
"68",408,96,0,262,1000,292979556,848,665575,2635,1,704,1.75e+08,8.3,27000,2009
"69",219,94,11,459,1000,198332128,973,114553,2579,2,187,1.75e+08,6.5,0,2009
"70",486,126,4000,4000,21000,318298180,12000,696338,39252,3,1055,1.4e+08,7.9,10000,2008
"71",682,126,17000,1000,17000,73820094,16000,245333,36017,0,678,1.7e+08,7.5,42000,2011
"72",85,106,188,582,10000,113745408,4000,129601,15870,2,648,1.7e+08,4.8,0,1999
"73",264,112,357,595,5000,102176165,3000,117927,9131,2,501,1.45e+08,5.2,0,2008
"74",418,123,452,329,10000,161087183,336,118992,11287,8,971,1.75e+08,6.9,80000,2016
"75",186,96,293,7000,87000,100289690,11000,115099,108016,0,257,1.75e+08,5.4,2000,2007
"76",585,113,218,509,10000,100189501,854,431620,12652,1,741,1.78e+08,7.9,77000,2014
"77",91,176,58,60,711,88246220,60,144337,1004,0,309,1.75e+08,6.1,0,1995
"78",250,118,208,570,23000,150167630,2000,174578,26683,4,534,1.75e+08,5.8,0,2009
"79",536,95,0,384,1000,356454367,767,345198,2944,1,773,1.75e+08,8.3,118000,2015
"80",370,106,4000,591,19000,362645141,13000,106072,32921,0,398,1.75e+08,7.8,65000,2016
"81",453,124,4000,4000,21000,312057433,19000,522371,48638,4,723,2e+08,7,18000,2010
"82",416,132,274,11000,26000,155111815,17000,228554,72881,0,710,1.7e+08,6.1,53000,2012
"83",401,97,171,846,11000,241407328,2000,252257,15516,2,634,1.8e+08,7,89000,2014
"84",521,130,198,884,10000,208543795,2000,317542,14363,0,620,1.7e+08,7.6,45000,2014
"85",10,109,596,283,622,NA,525,2138,1982,3,15,NA,4.5,677,2015
"86",218,128,47,982,18000,38297305,1000,116994,20965,2,324,1.75e+08,6.3,35000,2013
"87",576,136,94,2000,19000,259746958,11000,496749,36188,1,742,1.7e+08,7.8,55000,2014
"88",226,93,31,213,4000,238371987,225,138661,4628,2,173,1.65e+08,6.4,0,2010
"89",443,130,663,604,2000,93417865,638,128306,5046,2,497,1.9e+08,6.5,37000,2015
"90",384,102,38,562,756,222487711,719,279093,2963,0,433,1.65e+08,7.9,41000,2014
"91",377,101,66,833,975,189412677,931,272534,4451,1,345,1.65e+08,7.8,40000,2012
"92",188,100,0,267,15000,665426,726,120798,16264,0,444,1.65e+08,6.6,10000,2004
"93",286,120,776,535,890,102315545,812,58137,3233,0,520,1.65e+08,5.5,67000,2016
"94",288,98,255,759,18000,217387997,953,485430,20453,0,492,1.65e+08,8.2,33000,2010
"95",280,109,84,191,648,150350192,284,305340,1769,0,1676,2e+08,6.4,0,2003
"96",653,121,571,3000,14000,333130696,14000,682155,32438,3,1097,1.7e+08,8.1,96000,2014
"97",712,169,22000,6000,11000,187991439,11000,928227,31488,1,2725,1.65e+08,8.6,349000,2014
"98",642,148,22000,23000,29000,292568851,27000,1468200,81115,0,2803,1.6e+08,8.8,175000,2010
"99",1,120,28,12,544,NA,106,374,699,0,13,NA,8.2,0,2016
"100",645,182,0,773,5000,303001229,972,637246,9152,NA,1367,1.8e+08,7.9,166000,2012
"101",187,106,357,4000,23000,144512310,14000,272223,45327,2,988,3.8e+07,6.7,14000,2001
"102",362,166,21000,919,11000,127490802,1000,459346,13333,2,822,1.5e+08,7.8,23000,2008
"103",500,132,905,1000,34000,146405371,13000,518537,50983,3,698,1.6e+08,7.8,54000,2011
"104",389,137,508,14000,34000,281666058,22000,166137,81385,1,383,1.6e+08,6.6,38000,2015
"105",235,109,226,370,12000,63143812,418,124185,13388,0,238,1.5e+08,6.1,11000,2010
"106",231,98,249,702,87000,60655503,2000,82380,92456,0,629,1.6e+08,5.6,0,2006
"107",218,113,33,11000,40000,76846624,25000,21352,80806,1,131,1.7e+08,6.4,30000,2016
"108",227,93,50,692,3000,320706665,795,211971,4705,2,326,1.6e+08,6.1,0,2007
"109",275,123,0,648,3000,46978995,716,111609,5505,0,781,1.6e+08,7.3,89000,2016
"110",474,126,230,2000,24000,89732035,10000,188457,38873,2,867,1.55e+08,6.6,82000,2015
"111",228,113,150,59,531,104383624,82,106446,764,4,227,1.55e+08,6.3,11000,2010
"112",191,184,0,691,3000,198539855,961,254111,5401,0,1999,1.4e+08,6.1,0,2001
"113",396,144,0,581,662,318759914,599,513158,2333,0,1782,1.5e+08,7.1,8000,2007
"114",248,206,0,591,12000,34293771,11000,138863,24598,3,1390,1.55e+08,5.5,0,2004
"115",329,138,282,687,21000,292000866,11000,355137,33433,3,1108,1.5e+08,7.5,0,2007
"116",295,157,179,10000,21000,289994397,11000,385670,53413,1,1896,1.5e+08,7.6,0,2005
"117",318,102,532,979,10000,227946274,9000,343648,21584,0,590,1.5e+08,6.4,0,2008
"118",323,104,508,558,10000,256386216,1000,530870,13076,0,1413,1.5e+08,7.2,11000,2007
"119",276,115,13000,588,40000,206456431,16000,320284,57844,3,1361,1.5e+08,6.7,0,2005
"120",318,111,663,954,1000,206435493,1000,473887,4764,0,626,1.5e+08,8,10000,2007
"121",478,128,22000,11000,23000,205343774,14000,980946,59558,0,2685,1.5e+08,8.3,15000,2005
"122",167,89,35,436,1000,179982968,851,146019,3285,0,119,1.5e+08,6.7,0,2008
"123",185,105,189,1000,49000,177243721,3000,130272,54039,2,209,1.5e+08,5.9,2000,2009
"124",350,119,151,2000,20000,179883016,16000,361924,40054,0,641,1.5e+08,6.7,0,2009
"125",245,129,0,233,309,139259759,269,364948,1062,0,2121,1.5e+08,6.7,0,2003
"126",406,102,69,490,1000,400736600,523,421658,2582,0,904,1.5e+08,7.6,58000,2013
"127",275,138,0,30,234,281492479,198,421818,534,0,2789,1.5e+08,7.2,0,2003
"128",486,112,230,12000,26000,206360018,20000,414070,59803,3,532,1.7e+08,7.1,63000,2013
"129",739,120,750,943,27000,153629485,9000,552503,40025,0,1588,1.5e+08,8.1,191000,2015
"130",298,146,2000,294,15000,133375846,745,207839,16948,2,435,1.5e+08,6.7,0,2009
"131",516,115,0,12000,26000,181015141,20000,536314,60059,1,738,1.5e+08,7,63000,2011
"132",225,96,59,699,17000,114053579,759,146766,20007,0,178,1.5e+08,6.9,0,2008
"133",145,88,12,182,730,119420252,607,33042,2217,0,90,1.5e+08,5.1,0,2009
"134",310,99,473,502,14000,83640426,897,152826,16184,0,253,1.5e+08,5.8,19000,2012
"135",526,113,13000,16000,40000,79711678,17000,199039,80849,7,479,1e+08,6.2,82000,2012
"136",465,131,188,641,10000,195000874,10000,232187,21840,0,440,1.5e+08,7.4,47000,2015
"137",357,119,394,162,12000,61937495,490,89442,13071,0,432,1.5e+08,5.8,0,2010
"138",248,110,282,103,11000,124051759,10000,42372,21175,2,239,1.8e+08,6.6,29000,2016
"139",194,91,58,826,2000,126597121,852,105902,6576,0,206,1.5e+08,6.2,0,2007
"140",284,90,90,15,11000,165230261,10000,182718,21015,0,209,1.5e+08,7.3,20000,2011
"141",280,103,0,346,1000,131564731,756,118951,2857,0,1382,1.5e+08,4.2,18000,2010
"142",310,124,14000,979,22000,133382309,10000,256695,34817,0,871,1.5e+08,6.9,0,2006
"143",339,131,776,256,17000,73103784,551,164238,18204,2,434,1.5e+08,6.4,33000,2013
"144",132,88,25,433,921,21379315,562,17590,2652,0,112,1.5e+08,5.4,0,2011
"145",135,85,42,586,20000,64459316,14000,85086,35161,0,122,1.49e+08,6.7,0,2006
"146",256,111,456,394,20000,34964818,548,39956,21393,4,186,1.5e+08,5.8,24000,2015
"147",196,92,50,517,3000,111505642,1000,47900,5810,2,130,1.45e+08,6.9,11000,2014
